[I 2025-12-31 03:35:52,615] A new study created in memory with name: no-name-7323a071-a3d0-4cc7-9666-5282fc79f6e8
[I 2025-12-31 04:06:17,260] Trial 0 finished with value: 0.8339837570045463 and parameters: {'lr': 0.00031489116479568613, 'batch_size': 16, 'weight_decay': 6.025215736203855e-07, 'dropout': 0.02904180608409973, 'epochs': 71, 'beta1': 0.9142118522312097, 'beta2': 0.970736450521825}. Best is trial 0 with value: 0.8339837570045463.
[I 2025-12-31 07:04:25,449] Trial 13 finished with value: 0.8317346185862703 and parameters: {'lr': 9.188227716652768e-05, 'batch_size': 16, 'weight_decay': 7.717407396015278e-06, 'dropout': 0.007545576763330015, 'epochs': 65, 'beta1': 0.850641188555077, 'beta2': 0.9995020515215688}. Best is trial 11 with value: 0.8343090467566779.
[I 2025-12-31 07:20:17,689] Trial 14 finished with value: 0.8318505647799614 and parameters: {'lr': 0.0011399654597808394, 'batch_size': 32, 'weight_decay': 1.1464028669118929e-07, 'dropout': 0.23543521798227693, 'epochs': 67, 'beta1': 0.9413799335046389, 'beta2': 0.9760616009785539}. Best is trial 11 with value: 0.8343090467566779.
[I 2025-12-31 07:45:18,596] Trial 15 finished with value: 0.8301266328400504 and parameters: {'lr': 0.000724442445418136, 'batch_size': 16, 'weight_decay': 7.236017677822877e-07, 'dropout': 0.23802363722170825, 'epochs': 57, 'beta1': 0.8499188169812985, 'beta2': 0.9650205316338268}. Best is trial 11 with value: 0.8343090467566779.
[I 2025-12-31 07:53:02,480] Trial 16 finished with value: 0.8285434821857462 and parameters: {'lr': 5.348940347530661e-05, 'batch_size': 32, 'weight_decay': 5.96605281523841e-06, 'dropout': 0.08373364666256577, 'epochs': 32, 'beta1': 0.8869465282403153, 'beta2': 0.9880223170485855}. Best is trial 11 with value: 0.8343090467566779.
[I 2025-12-31 08:01:37,818] Trial 17 finished with value: 0.8315248747717068 and parameters: {'lr': 0.0036451166740044875, 'batch_size': 64, 'weight_decay': 2.905144307278371e-05, 'dropout': 0.13157719016983072, 'epochs': 73, 'beta1': 0.9431152334640243, 'beta2': 0.9634687931126069}. Best is trial 11 with value: 0.8343090467566779.
[I 2025-12-31 08:19:45,965] Trial 18 finished with value: 0.8310966167304139 and parameters: {'lr': 0.00016823593104801476, 'batch_size': 16, 'weight_decay': 3.604695072860733e-07, 'dropout': 0.20622323155684819, 'epochs': 56, 'beta1': 0.9195998479456723, 'beta2': 0.9878412739303921}. Best is trial 11 with value: 0.8343090467566779.
[I 2025-12-31 08:32:32,188] Trial 19 finished with value: 0.8306712757557451 and parameters: {'lr': 0.0008992942988615141, 'batch_size': 32, 'weight_decay': 2.84103073808751e-06, 'dropout': 0.30802111243503943, 'epochs': 72, 'beta1': 0.8290694791118774, 'beta2': 0.9584858619394447}. Best is trial 11 with value: 0.8343090467566779.
[I 2025-12-31 08:52:02,967] Trial 20 finished with value: 0.8261982790959176 and parameters: {'lr': 0.00618581613102038, 'batch_size': 16, 'weight_decay': 0.00010320190618111316, 'dropout': 0.03862844406426097, 'epochs': 59, 'beta1': 0.8677737542445335, 'beta2': 0.9879726502079915}. Best is trial 11 with value: 0.8343090467566779.
[I 2025-12-31 09:03:45,755] Trial 21 finished with value: 0.8348618645034271 and parameters: {'lr': 0.000298919508826042, 'batch_size': 32, 'weight_decay': 1.568547701639025e-05, 'dropout': 0.06575280828006724, 'epochs': 66, 'beta1': 0.836885694249207, 'beta2': 0.9917902355858448}. Best is trial 21 with value: 0.8348618645034271.
[I 2025-12-31 09:17:54,306] Trial 22 finished with value: 0.8364792226470217 and parameters: {'lr': 0.00045182063336205033, 'batch_size': 32, 'weight_decay': 1.1799510966021678e-05, 'dropout': 0.047901761883360275, 'epochs': 80, 'beta1': 0.8661293764528653, 'beta2': 0.9829691155318088}. Best is trial 22 with value: 0.8364792226470217.
[I 2025-12-31 09:32:02,455] Trial 23 finished with value: 0.8346245702594101 and parameters: {'lr': 0.0006033616917340879, 'batch_size': 32, 'weight_decay': 1.3805502274586886e-05, 'dropout': 0.09992132232933862, 'epochs': 79, 'beta1': 0.8311615232656467, 'beta2': 0.9861597336873804}. Best is trial 22 with value: 0.8364792226470217.
[I 2025-12-31 09:46:20,002] Trial 24 finished with value: 0.8346327771109546 and parameters: {'lr': 0.001487849197155315, 'batch_size': 32, 'weight_decay': 1.4652245347839084e-05, 'dropout': 0.10829642681130101, 'epochs': 80, 'beta1': 0.828220911368955, 'beta2': 0.9844286396643311}. Best is trial 22 with value: 0.8364792226470217.
[I 2025-12-31 10:00:27,387] Trial 25 finished with value: 0.8305639879025053 and parameters: {'lr': 0.0011726076586409688, 'batch_size': 32, 'weight_decay': 6.518597536909676e-05, 'dropout': 0.18000766342969693, 'epochs': 62, 'beta1': 0.8688714556037234, 'beta2': 0.9804029546792499}. Best is trial 22 with value: 0.8364792226470217.
[I 2025-12-31 10:15:31,171] Trial 26 finished with value: 0.8329231551279508 and parameters: {'lr': 0.0016453495411054091, 'batch_size': 32, 'weight_decay': 2.1238434289313105e-05, 'dropout': 0.11023926491825613, 'epochs': 69, 'beta1': 0.8252795498055538, 'beta2': 0.9538964277843386}. Best is trial 22 with value: 0.8364792226470217.
